"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
05042,628,690,172,156,701,289,1126,61,131
05043,664,805,208,153,809,299,1252,68,149
05044,579,724,213,134,681,275,1153,52,98
05045,730,881,293,184,807,327,1475,58,78
05046,489,639,144,126,504,354,1051,28,49
05047,564,698,231,131,652,248,1158,50,54
05048,576,716,183,166,654,289,1200,30,62
05049,744,931,248,225,816,386,1501,75,99
05050,752,883,243,181,869,342,1457,74,104
05051,765,893,259,249,794,356,1480,82,96
05052,687,830,254,201,728,334,1391,56,70
05053,711,784,221,208,734,332,1358,62,75
05054,463,598,141,142,516,262,915,60,86
05055,672,800,232,207,680,353,1333,36,103
05056,529,719,186,117,610,335,1077,55,116
05057,790,902,186,227,820,459,1494,65,133
05058,725,850,241,189,756,389,1328,99,148
05059,700,895,212,161,845,377,1368,93,134
05060,516,639,178,148,580,249,986,85,84
05061,662,842,152,135,899,318,1200,117,187
05062,687,909,234,186,817,359,1391,98,107
05063,734,865,237,171,835,356,1400,95,104
05064,699,894,208,197,832,356,1357,115,121
05065,787,937,245,178,930,371,1436,120,168
05066,571,729,156,148,672,324,1121,61,118
05067,584,725,190,153,642,324,1101,89,119
05068,704,826,217,133,868,312,1269,115,146
05069,812,965,267,178,1003,329,1491,124,162
05070,642,823,203,142,786,334,1256,103,106
05071,736,944,215,180,945,340,1369,140,171
05072,773,981,257,183,923,391,1522,94,138
05073,736,902,222,151,915,350,1402,93,143
05074,778,919,246,195,870,386,1492,103,102
05075,824,1039,300,205,931,427,1610,113,140
05076,642,752,187,144,721,342,1200,89,105
05077,689,835,237,214,776,297,1333,87,104
05078,1012,1151,388,272,1099,404,1929,105,129
05079,594,700,188,135,704,267,1118,101,75
05080,623,779,183,143,802,274,1191,107,104
05081,710,884,231,179,840,344,1338,103,153
05082,753,914,233,166,943,325,1389,132,146
05083,583,716,160,108,729,302,1098,94,107
05084,580,728,156,130,710,312,1121,92,95
05085,624,719,203,116,768,256,1109,106,128
05086,607,697,182,129,743,250,1107,101,96
05087,689,853,188,169,850,335,1335,82,125
05088,858,922,213,225,983,359,1510,104,166
05089,841,903,235,185,952,372,1526,106,112
05090,905,1024,259,190,1094,386,1558,183,188
05091,694,863,214,145,832,366,1343,118,96
05092,737,841,193,199,825,361,1398,72,108
05093,479,648,143,135,587,262,993,66,68
05094,1196,1484,423,334,1331,592,2378,138,164
05095,738,933,267,170,852,382,1437,82,152
05096,503,632,168,107,615,245,973,73,89
05097,789,868,282,174,874,327,1408,137,112
05098,689,873,203,145,884,330,1287,111,164
06001,502,664,160,69,671,266,925,95,146
06002,695,809,178,136,839,351,1195,103,206
06003,1119,1192,291,185,1364,471,1878,182,251
06004,705,728,183,123,806,321,1220,79,134
06006,477,543,155,95,546,224,921,50,49
06007,908,1057,308,182,1125,350,1710,92,163
06008,885,1102,258,185,1089,455,1679,125,183
06009,553,651,202,115,612,275,1061,76,67
06010,501,577,147,84,569,278,927,46,105
06011,615,692,165,132,659,351,1186,58,63
06012,535,605,141,87,580,332,977,77,86
06013,807,934,198,183,1005,355,1431,127,183
06014,634,763,159,116,744,378,1215,78,104
06015,667,742,174,124,846,265,1165,76,168
06016,746,872,223,161,970,264,1330,92,196
06017,650,730,189,113,788,290,1181,79,120
06018,631,669,154,97,795,254,1040,153,107
06019,705,824,193,134,889,313,1248,126,155
06020,536,637,139,86,671,277,948,82,143
06021,635,740,201,117,710,347,1176,80,119
06022,726,682,165,193,735,315,1092,111,205
06023,612,727,164,99,654,422,1268,33,38
06024,755,954,231,144,895,439,1456,110,143
06025,665,774,190,123,733,393,1303,39,97
06026,443,557,107,62,547,284,855,59,86
06027,520,674,166,99,630,299,1038,62,94
06028,645,686,158,102,798,273,1084,121,126
06029,604,685,121,91,745,332,1049,104,136
06030,613,716,150,92,840,247,1060,145,124
06031,510,606,93,81,720,222,890,121,105
06032,545,657,159,80,727,236,1005,82,115
06033,581,715,132,96,795,273,1094,120,82
06034,561,697,133,91,756,278,1041,100,117
06035,474,573,106,89,581,271,879,87,81
06036,655,851,164,156,776,410,1237,105,164
06037,538,586,152,127,593,252,911,96,117
06038,643,837,169,113,889,309,1206,165,109
06039,731,906,176,112,1091,258,1179,264,194
06040,712,935,176,148,946,377,1308,166,173
06041,798,1009,231,186,1050,340,1419,194,194
06042,833,954,283,145,1033,326,1380,184,223
06043,595,692,171,118,768,230,941,178,168
06044,740,840,181,175,925,299,1173,193,214
06045,580,721,154,91,861,195,928,193,180
06046,562,626,131,88,780,189,881,148,159
06047,567,724,146,100,860,185,919,192,180
06048,651,750,154,104,914,229,989,176,236
06049,548,643,159,87,746,199,897,141,153
06050,601,689,145,81,848,216,925,188,177
06051,547,721,162,93,767,246,993,138,137
06052,701,845,163,131,966,286,1181,212,153
06053,688,841,192,97,949,291,1174,189,166
06054,755,856,212,117,1032,250,1214,185,212
06055,644,820,163,100,908,293,1175,143,146
06056,710,849,166,103,1080,210,1147,241,171
06057,665,854,151,85,990,293,1168,174,177
06058,748,942,159,124,1119,288,1263,193,234
06059,711,812,172,110,919,322,1235,157,131
06060,818,959,197,165,1094,321,1370,210,197
